Successful authentication is a prerequisite for the processing of any on-line or offline CEPS transaction;sec
On-line authentication must take place between the card issuer and the CEP card for load, unload, and currency exchange transactions;sec
The card issuer and the CEP card share a secret key to generate and verify MACs;sec
Off-line authentication must take place between a PSAM in the POS device and the CEP card for purchase and cancel last purchase transactions;sec
The card and the PSAM must use a public key algorithm for mutual authentication and session key exchange, as no permanent shared secret key may exist between the CEP card and the PSAM;sec
To load value into a slot of the CEP card securely, the load device establishes a connection between the issuer and the CEP card;sec
The card should use a unique diversified secret key, personalized into the card, to generate and authenticate transaction signatures;sec
If this is not a cash load, the funds issuer needs to verify that the funds are requested by the legitimate account owner, which is normally done by the presentation of an enciphered PIN;sec
The card issuer needs to ensure that the load acquirer is guaranteeing payment for the electronic value, and that the card is authentic;sec
The load acquirer needs to ensure that the issuer is the true owner of the card, and, in the case of an apparent failure of the load, the load acquirer needs the card presented to authenticate the failure;sec
The load device sends S1 in an authorization request to the issuer;sec
The load device also provides for verification of the identity of the cardholder (with either on-line or off-line PIN verification) and forwards verification data in the authorization request;sec
The issuer validates S1 to authenticate the card and the data to be used in the transaction;sec
The issuer sends S2 to the load acquirer in the authorization response message;sec
Unloads are permitted only to an account controlled by the card issuer and are performed only at a load device under the control of the card issuer;sec
The cardholder must have an account relationship with the card issuer, and funds removed from the card are credited to the cardholder account only after the card issuer authenticates the card;sec
The issuer needs only to authenticate the card, and the card needs only to authenticate the issuer and that the data is the same as used by the issuer;sec
The card generates S1, using data from the card and load device, and sends S1 to the card issuer to authenticate the card and the data that is to be used in the transaction;sec
The card issuer generates S2, which is sent to the card to allow the card to validate the card issuerÉ??s authenticity and to ensure that the data used by the card in the transaction is the same as the card issuer intended;sec
In the case of an unsuccessful completion, exception processing outlined in the On-line Exception Processing section is performed;nonsec
During a purchase transaction, the CEP card must ensure that it is dealing with an authentic POS device, and it must generate a signature to allow the card issuer to verify the integrity of the transaction;sec
The POS device must ensure that it is dealing with an authentic card, and guarantee integrity of transactions and batches to the merchant acquirer;sec
In the case of a reversal, the CEP card must re-authenticate the PSAM;sec
The card must ensure that the transaction is performed by the same POS device as was used for the purchase being canceled, and that the amount of the cancellation is the same as the amount of the purchase, or, in the case of an incremental purchase, the same as the amount of the last step;sec
During a Cancel Last Purchase transaction, the CEP card is authenticated by the PSAM in the POS device;sec
The PSAM authenticates that the purchase transaction being canceled was performed by the PSAM, and that the transaction being canceled is part of the active batch;sec
The card issuer and the merchant acquirer also authenticate the transaction when they receive it;sec
Transmissions between host systems should be protected by MACs based on unique keys that are shared by the nodes involved;sec
The transaction signatures ensure end to end integrity of transmitted data for load, unload, and currency exchange transactions;sec
These totals are used by the merchant acquirer to ensure the integrity of the batch;sec
The count and amount of the transactions in the batch must be protected by the S4 MAC,  This information is not part of the card issuerÉ??s verification process;sec
Scheme providers must assign unique identifying numbers to merchant acquirers who provide PSAMs;sec
These merchant acquirers must then assign unique identifiers to PSAMs;sec
Each PSAM must maintain a transaction count, The unique PSAM ID and the transaction count are used during a conversation with a CEP card. The transaction count must not be reset during the life of the PSAM;sec
Contain the CA public RSA key, the PSAMÉ??s private RSA key and optionally the certificates that the POS device uses to perform mutual authentication with the CEP card;sec
Perform the calculation required to generate a signature using the PSAMÉ??s private RSA key, to allow the CEP card to validate the PSAM;sec
Contain the latest transaction count and amount of batches that have not been deleted from the POS device by the merchant or merchant acquirer;nonsec
Contain the details of a transaction between the initialize command for that transaction and the initialize command for the next transaction;nonsec
Be the entity that maintains control over the flow of a transaction, ensuring that all security is enforced;sec
Perform the verification of signatures and certificates during a purchase and cancel last purchase transaction;sec
Ensure that each batch of transactions is cleared and settled once and only once;nonsec
Send transactions to card issuers or their processors in a standard format defined in agreement with the scheme provider;nonsec
Ensure that CA public keys, aggregation parameters, blocking lists and issuer certificate revocation lists from the scheme providers are sent to the POS devices;sec
Share one or more MAC keys with connecting processors, create a MAC on each transmission sent to another processor, and verify the MAC on each transmission received from another processor;sec
Send transactions to other processors in a standard format defined in agreement with the scheme provider;nonsec
If a supported scheme provider has a dispute resolution process, participate in that dispute resolution process with connecting processors to resolve any issues related to invalid transactions. These resolution processes should include a mechanism for repayment of funds associated with invalid transactions;nonsec
The scheme provider must ensure that the entire process between merchants, merchant acquirers, card issuers, and processors is auditable and reconcilable;sec
If errors in the card issuer MAC are discovered by the card issuer during its processing of the transactions, a dispute mechanism, established by the scheme provider, may be used to have money refunded;sec
If a scheme provider establishes a central error repository, all transactions for the scheme with MAC errors must be sent to that central error repository whether or not they are submitted to the dispute process;sec
Payment for a transaction is only required when a detail transaction is submitted for payment, A merchant acquirer may choose to pay the merchant using the batch total;nonsec
The timing of payment to the merchant must be established between the merchant and the merchant acquirer;nonsec
A purchase transaction may be reversed, prior to the removal of the CEP card from the POS device, by sending a purchase reversal command to the CEP card, The CEP card must authenticate the PSAM using certificates previously exchanged;sec
The amount to be reversed is the amount of the last step of the transaction. The reversal command sent to the CEP card contains a S2 MAC computed by the PSAM;sec
The PSAM in the POS device generates a merchant acquirer S5 MAC for the transaction, computes a new S4 MAC on the updated batch total count and amount, and logs the transaction;sec
The CEP card authenticates the PSAM using the certificates previously received and the S2, The CEP card increments the value of the purse and logs the transaction;sec
The CEP card sends a response to the reversal command to the POS device. The reversal is considered to be successful even in the event of a negative response or no response from the CEP card;nonsec
After the CEP card is inserted in the POS device, the POS device initiates the cancel last purchase transaction;nonsec
If the POS device supports multiple applications or multiple transaction types, an interaction between the terminal and consumer or sales agent determines the CEP application and the function to be performed (cancel last purchase transaction);nonsec
